c2c4 e7e5 b1c3 f8c5 e2e3 f7f5 d2d4 e5d4 e3d4 c5b4
e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 d8h4 b1c3 f8b4
d2d4 g8f6 c1f4 g7g6 e2e3 f8g7 g1f3 e8g8 c2c3 d7d6
e2e4 c7c6 d2d4 d7d5 e4e5 e7e6 g1f3 c6c5 c2c3 b8c6
e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 g8e7 d1b3 e7c6
e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 c7c6 g1f3 g8f6
e2e4 e7e6 d2d3 d7d5 b1d2 g8f6 e4e5 f6d7 g1f3 c7c5
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4
b2b3 e7e5 c1b2 b8c6 f2f4 e5e4 e2e3 d7d5 f1b5 c8d7
e2e4 c7c5 d2d4 c5d4 c2c3 g7g6 c3d4 f8g7 g1f3 d7d5
d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 g1f3 d7d6
e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 c1e3 d8b6
e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 f1d3 f8d6 g1f3 g8f6
e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 c2c4 c7c6 b1c3 g8f6
e2e4 e7e5 f2f4 f7f6 g1f3 f8c5 f1c4 d7d6 b1c3 b8c6
e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 c1e3 c6d4
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 e4e5 f6d7
e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 b1c3 g8f6 c1g5 c8f5
e2e4 c7c5 c2c4 b8c6 g1f3 g7g6 d2d4 c5d4 f3d4 f8g7
e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 c7c6 g1f3 g8f6
g2g4 d7d5 f1g2 e7e5 h2h3 b8c6 e2e4 d5d4 d2d3 f7f6
e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 c7c6 g1f3 g8f6
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5
e2e4 c7c5 d2d4 c5d4 c2c3 d4c3 b1c3 e7e5 g1f3 b8c6
d2d4 g8f6 c1f4 g7g6 e2e3 f8g7 g1f3 e8g8 f1d3 d7d5
e2e4 c7c5 g1f3 b8c6 d2d4 g7g6 d4d5 c6b4 a2a3 b4a6
e2e4 e7e5 g1f3 g8f6 f3e5 f6e4 d1e2 d7d5 e5f3 c8e6
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 c8g4
e2e4 e7e5 g1f3 g8f6 d2d4 f6e4 d4e5 d7d6 e5d6 f8d6
d2d4 g8f6 c2c4 g7g6 b1c3 d7d6 e2e4 f8g7 f1d3 e8g8
f2f4 d7d5 g1f3 b8c6 e2e3 f7f6 f1b5 c8d7 b1c3 e7e5
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 f8c5 c2c3 g8f6
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5
e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 c7c6 g1f3 g8f6
e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 c6d4 d1d4 d7d5
e2e4 e7e6 e1e2 e8e7 d2d4 d7d5 e4e5 e7e8 f2f3 c7c5
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5
e2e4 d7d5 e4d5 d8d5 g1f3 g8f6 b1c3 d5a5 d2d4 c7c6
